station_cleaned,station_fixed
LEAVING LAWRENCE EAST,NA
EGLINTON WEST TO BLOOR,NA
SHEPPARD YONGE,NA
MCCOWAN TO KENNEDY STA,NA
ST ANDREW TO BLOOR ST,NA
YONGE UNIVERSITY/BLOOR,NA
LAWRENCE EAST TO ELLES,NA
DUPLEX AVENUE,NA
WELLSLEY STATION,NA
ST GEORGE TO FINCH WES,NA
RUSSELL HILL EMERGENCY,NA
S/O EGLINTON TO ST CLA,NA
SEHPPARD STATION,NA
UNION TO FINCH,NA
ST CLAIR WEST TO DUPO,NA
BLOOR TO YORK MILLS,NA
DUNDAS STATION - WEST,NA
YONGE-UNIVERSITY SUBW,NA
BROADVIEW TO ST GEORGE,NA
YORKDALE TO FINCH STAT,NA
KENNEDY - MCCOWAN,NA
HIGH PARK TO KEELE STA,NA
ST GEORGE STN,NA
DAVISVILLE BUID-UP,NA
DUNDAS STATION E/S 1,NA
LAWRENCE TO ST CLAIR S,NA
SCARBOROUGH RAOID TRAN,NA
WELLBECK EMERGENCY,NA
KING COMMERCE,NA
FULL LINE,NA
DUPONT TO OSGOODE,NA
YONGE - UNIVERSITY BLO,NA
SHEPPARD YONGE STATION,NA
WARDEN STATION TO KENN,NA
WILSON STATION- HOSTLE,NA
WILSON CAPITAL SHOP,NA
YONGE-UNIVERSITY AND,NA
BLOOR STATON,NA
VMC TO SHEPPARD WEST,NA
EGLINTON TO LAWRENCE,NA
SHEPPARD WEST MIGRATI,NA
SOUTH OF LAWRENCE SRT,NA
UNION STATION TO ST CL,NA
ST CLAIR STATION PLEAS,NA
WILSON SOUTH HOSTLER,NA
GLENAYR EE,NA
MCCOWAN CAR HOUSE,NA
ATC FAILURE,NA
UNION STATION - BOOTH,NA
UNION TO ST CLAIR WEST,NA
TYSSE LINE,NA
VMC STATION,NA
ST CLAIR WEST TO DUPON,NA
UNION TO ST GEORGE,NA
YARD SWITCH - BD CHECK,NA
CHESTER TO CASTLEFRANK,NA
ST CLAIR WEST CENTRE T,NA
BLOOR SATION,NA
DUNDAS STATION - EAST,NA
WILSON TO EGLINTON,NA
EGLINTON TO FINCH,NA
ENTERING LESLIE STATIO,NA
BROADVIEW TO YONGE STA,NA
SYSTEM - WIDE IN THE O,NA
(APPROACHING),NA
"UNION, KIPLING, ROYAL",NA
BROADVIEW TO SHERBOURN,NA
FINCH - NORTH YORK CEN,NA
DOWNSVIEW STATION PLAT,NA
SHEPPARD SUBWAY LINE,NA
ATC TERRIROTY,NA
WILSON - ST CLAIR WEST,NA
OSSINGTON AND DUFFERIN,NA
DUPONT STATION APPROAC,NA
LAWRENCE WEST TO EGLIN,NA
WILSON SUB STATION,NA
DUNDAS STATION E/S,NA
CLANTON PARK PORTAL,NA
YONGE - UNIVERSITY SUB,NA
KENNEDY TO KIPLING STA,NA
LESLIE STATION(APPROAC,NA
ST CLAIR STATION - UPP,NA
YONGE UNIVERSITY SPADI,NA
